feature,pos,neg,neutral
light situations,0,0,2
auto,0,1,12
af system,0,0,2
shutter speed,0,1,4
software,2,2,2
iso,2,6,18
movie,1,0,0
action shots,3,0,1
customer service,0,1,0
screen,2,2,11
focus,0,1,10
lcd screen,0,1,6
body,2,1,9
photos,8,3,11
resolution,1,0,6
mode,1,1,10
features,8,2,6
view,0,0,8
shutter release,1,0,0
price,4,1,12
function,0,1,2
options,3,1,4
noise reduction,2,0,0
pics,4,1,3
shutter priority,0,0,1
menu system,1,0,0
image,1,0,7
higher resolution,0,0,1
settings,3,0,9
shutter button,0,1,0
lenses,0,0,8
zoom lens,1,0,2
professional photographer,1,0,2
af,1,0,1
view screen,0,1,0
screen protector,0,0,1
image sensor,1,0,0
guide mode,1,2,0
video capability,0,0,1
image quality,5,3,5
prime lens,0,0,1
size,1,0,2
exposure,1,0,5
light,11,2,7
battery grip,1,0,1
sensor,3,2,5
shutter lag,0,0,3
shots,5,1,15
light capability,0,0,1
memory stick,0,0,1
auto iso,0,0,2
manual mode,2,0,3
video mode,0,0,3
card,0,0,4
flash,5,1,17
color,2,0,4
auto focus,1,1,3
video,1,0,7
lens,13,2,25
battery,1,0,6
lcd,0,1,7
pictures,16,4,19
button,1,0,5
outdoor shots,2,1,0
frame rate,0,0,1
program mode,0,0,3
noise,1,2,10
viewfinder,1,1,9
lens cap,0,0,1
focus system,0,0,1
memory card,1,0,6
optical viewfinder,0,0,1
exposure compensation,0,0,1
video recording,0,0,1
shutter,2,2,2
zoom,3,0,3
movie mode,1,0,2
indoor shots,1,1,1
price range,1,0,0
menu,2,0,2
autofocus,2,1,2
usb cable,0,0,1
white balance,0,0,1
money,5,1,12
entry level,2,0,4
hd camcorder,1,0,1
dslr,7,0,21
kit lens,2,0,1
sd card,2,0,1
auto mode,0,0,4
