feature,pos,neg,neutral
light situations,0,0,2
manual focus,0,1,0
shutter speed,1,0,4
software,2,0,4
movie,1,0,0
view finder,0,0,3
focus,3,10,13
lcd screen,0,0,1
resolution,1,0,5
price,5,2,9
options,3,2,9
focal length,0,0,1
pics,7,2,13
case,2,1,1
lenses,10,2,25
zoom lens,0,0,2
professional photographer,0,0,3
af,2,3,8
size,7,0,8
exposure,1,1,3
quality photos,1,0,0
light,9,5,13
battery grip,0,1,3
shots,7,1,13
auto iso,0,0,1
card,4,2,15
video mode,0,0,4
flash,3,1,11
scene mode,0,0,1
auto focus,2,2,1
battery,0,1,3
pictures,12,0,26
firmware update,0,0,1
swivel screen,0,1,0
editing software,1,0,2
noise,4,1,15
wide angle,0,1,2
shutter,1,3,7
video quality,2,1,0
price range,1,0,0
night shots,0,0,1
menu,1,1,8
user interface,3,0,0
dslr,4,1,13
light weight,0,0,1
kit lens,3,0,13
sd card,2,1,4
manual control,0,0,1
articulating screen,0,0,2
auto,2,0,9
iso,6,4,16
customer service,0,2,2
screen,2,2,9
body,7,1,12
photos,10,2,18
mode,0,0,8
battery life,1,1,0
features,8,0,11
view,1,0,6
shutter release,2,0,3
function,1,0,2
build quality,2,0,1
user manual,0,0,1
settings,2,1,15
image,1,1,8
video capability,0,1,1
image quality,5,1,4
sensor,13,0,7
touch screen,1,0,0
manual mode,1,1,0
external flash,1,0,0
color,2,1,1
video,17,8,34
lens,11,4,40
lcd,2,0,3
button,0,0,3
frame rate,0,0,1
zoom range,0,0,1
viewfinder,1,0,4
memory card,0,0,2
iso settings,1,1,0
aspect ratio,1,0,0
exposure compensation,2,0,2
card slot,1,0,0
hd video,2,0,2
indoor photos,0,0,1
zoom,4,0,4
movie mode,0,0,1
autofocus,2,3,8
amateur photographer,0,0,1
white balance,1,0,1
video capture,1,0,0
money,0,2,8
entry level,0,0,2
iso range,0,0,1
auto mode,0,0,1
light pictures,0,0,1
