feature,pos,neg,neutral
light situations,1,1,1
manual focus,1,1,4
shutter speed,4,0,6
movie,1,0,7
software,3,7,21
indoor pictures,0,1,2
view finder,0,0,3
focus,3,2,14
lower light,0,0,1
lcd screen,1,0,2
resolution,3,1,4
quality pictures,2,0,1
card reader,0,0,2
recording button,1,0,0
price,5,1,18
options,7,2,12
noise reduction,3,0,1
focal length,1,1,3
neck strap,0,1,3
film slr,0,0,1
pics,11,4,6
case,4,4,20
shutter button,1,0,1
lenses,6,0,21
zoom lens,0,0,4
professional photographer,1,0,5
af,0,1,3
screen protector,0,0,4
priority mode,0,0,1
size,9,3,34
exposure,1,0,10
hd movie,1,0,0
quality photos,1,0,0
light,31,5,36
wrist strap,1,0,3
shutter lag,0,0,1
shots,10,1,22
light capability,0,0,1
auto iso,0,0,2
light shots,1,0,0
card,0,1,5
video mode,1,0,3
sensor size,0,0,1
flash,11,4,55
light photos,1,0,1
scene mode,1,0,0
auto focus,2,0,4
battery charger,0,0,2
battery,2,2,18
pictures,43,7,34
price point,0,0,1
editing software,0,0,4
swivel screen,1,0,0
electronic viewfinder,1,0,2
noise,3,0,17
macro mode,0,0,3
automatic mode,1,0,1
lens cap,4,9,27
burst mode,0,0,2
wide angle,6,0,14
shutter,0,0,5
video quality,3,0,3
indoor shots,2,0,1
image stabilization,4,0,5
price range,2,1,0
menu,6,1,18
usb cable,0,0,1
angle lens,2,0,4
dslr,3,5,34
kit lens,1,0,0
light weight,1,0,1
sd card,0,2,5
manual control,2,0,5
lens cover,0,1,4
articulating screen,0,0,2
auto,6,2,15
iso,11,5,28
customer service,0,1,2
screen,2,4,11
body,3,0,11
photos,17,2,51
battery life,11,0,6
mode,3,5,45
features,9,3,25
view,2,0,8
shutter release,1,0,2
spare battery,0,0,4
function,0,1,4
manual settings,0,0,2
light conditions,1,0,2
focus mode,1,0,1
build quality,4,0,3
menu system,2,0,2
image,6,2,17
settings,7,3,16
image quality,8,0,20
prime lens,0,0,2
sdhc card,0,0,3
sensor,1,1,11
touch screen,0,0,1
manual mode,2,0,1
external flash,3,0,2
color,8,5,10
video,24,2,36
lens,45,15,82
lcd,5,0,9
button,4,0,21
zoom range,2,1,4
program mode,0,0,1
viewfinder,1,2,14
memory card,2,1,1
aspect ratio,0,1,5
exposure compensation,0,0,2
hd video,4,0,5
zoom,8,7,45
movie mode,2,0,1
autofocus,2,1,2
amateur photographer,0,0,1
white balance,1,0,3
money,2,0,5
hd camcorder,0,0,1
telephoto lens,0,0,1
entry level,0,0,1
quality video,0,0,3
optical zoom,1,0,4
light pictures,1,0,0
auto mode,0,0,1
