feature,pos,neg,neutral
light situations,0,0,2
manual focus,3,1,2
af system,1,1,1
shutter speed,1,0,8
movie,1,0,7
software,2,0,5
view finder,1,0,1
lower light,0,0,2
focus,15,8,40
lcd screen,4,0,5
resolution,4,5,10
video clips,0,0,1
card reader,1,0,1
price,8,4,32
options,2,0,0
noise reduction,1,0,3
focal length,1,1,1
film slr,0,0,1
pics,0,0,3
case,0,0,7
shutter button,1,0,1
lenses,19,4,45
autofocus system,2,0,3
zoom lens,0,0,5
professional photographer,0,0,3
af,7,8,19
image sensor,0,0,2
size,5,1,7
exposure,5,2,14
light,8,4,21
battery grip,0,0,4
shutter lag,0,0,1
shots,5,4,28
light capability,0,0,1
auto iso,0,2,1
sensor size,0,0,4
card,0,1,4
video mode,1,1,1
flash,6,4,21
auto focus,2,1,5
battery,2,2,5
pictures,3,0,6
firmware update,1,1,6
editing software,0,0,1
noise,9,4,16
burst mode,1,0,0
optical viewfinder,0,0,1
wide angle,4,1,9
video recording,1,0,3
shutter,3,3,16
video quality,1,0,1
image stabilization,4,1,0
night shots,0,0,3
menu,4,0,7
angle lens,0,0,1
dslr,2,0,5
kit lens,0,0,1
manual control,1,0,3
second battery,0,0,2
auto,0,0,9
iso,11,11,53
screen,11,6,18
body,6,4,23
photos,4,4,23
mode,5,2,14
battery life,3,1,1
features,9,4,13
view,6,0,11
function,1,0,5
popup flash,0,1,0
light conditions,0,0,1
build quality,2,0,2
menu system,0,0,3
user manual,0,0,1
settings,3,2,11
image,1,2,16
higher resolution,0,0,4
video capability,2,0,2
image quality,11,3,14
prime lens,1,0,0
sensor,13,2,40
manual mode,1,0,2
color,2,0,3
video,9,9,69
lens,24,7,94
lcd,6,0,6
button,2,1,7
af point,0,0,2
frame rate,0,0,3
zoom range,0,0,1
viewfinder,5,2,3
weather seals,0,0,1
memory card,0,1,4
focus system,1,2,0
exposure compensation,0,0,1
hd video,6,1,5
video features,0,0,1
zoom,5,3,20
movie mode,1,0,1
autofocus,2,2,8
amateur photographer,0,0,1
white balance,0,1,1
video capture,0,0,2
money,6,0,12
hd camcorder,0,0,1
iso range,1,0,2
quality video,2,0,0
auto mode,1,0,2
