feature,pos,neg,neutral
light situations,1,0,0
manual focus,0,0,2
shutter speed,0,0,5
software,2,0,4
movie,0,0,4
lcd display,0,0,1
focus,10,1,13
lcd screen,0,0,3
resolution,0,0,8
quality pictures,1,0,0
card reader,0,0,1
price,6,2,22
options,3,3,5
film slr,0,0,1
pics,1,0,4
case,2,0,2
shutter button,1,0,0
lenses,7,4,21
zoom lens,0,0,5
professional photographer,0,0,2
af,0,2,6
screen protector,0,0,3
image sensor,0,0,3
lens hood,0,1,0
guide mode,1,0,0
exposure,1,0,10
size,1,0,3
light,9,4,16
battery grip,0,2,1
shots,6,4,13
auto iso,0,0,1
card,1,1,2
video mode,0,0,1
flash,1,0,15
scene mode,0,1,0
auto focus,1,1,6
battery charger,0,0,1
battery,3,0,11
pictures,17,2,15
price point,0,0,1
swivel screen,2,0,4
editing software,0,0,2
noise,4,1,6
wide angle,1,0,1
shutter,3,2,7
video quality,4,0,0
price range,2,0,1
menu,3,0,10
usb cable,0,0,1
angle lens,1,0,0
dslr,6,4,19
light weight,1,0,1
kit lens,3,0,6
manual control,1,0,0
sd card,0,0,5
articulating screen,1,0,4
macro shots,0,0,1
auto,1,0,6
iso,14,6,26
customer service,1,0,1
screen,7,5,20
body,6,6,13
photos,10,0,12
mode,4,2,28
battery life,2,2,5
features,12,3,19
view,3,6,9
shutter release,2,0,3
function,3,2,4
light conditions,0,0,1
focus mode,0,0,2
shutter priority,0,0,1
build quality,2,0,1
menu system,0,0,1
higher resolution,2,0,3
settings,4,4,13
image,2,3,4
image quality,16,3,5
sensor,3,4,20
manual mode,2,0,2
quick shots,0,0,2
color,6,2,5
external flash,0,0,3
wireless flash,0,0,2
video,9,6,40
lens,7,2,30
lcd,7,0,5
button,13,3,21
frame rate,0,0,2
viewfinder,1,2,7
focus system,1,0,0
memory card,0,0,1
iso settings,1,0,1
card slot,0,0,1
hd video,2,1,2
video features,1,0,0
zoom,1,0,4
movie mode,0,0,1
autofocus,1,1,20
amateur photographer,0,0,1
white balance,0,0,4
video capture,2,0,1
money,6,1,4
focus point,1,0,2
hd camcorder,1,0,0
entry level,2,0,5
telephoto lens,1,0,0
quality video,1,0,0
auto mode,0,0,4
