feature,pos,neg,neutral
light situations,0,2,2
manual focus,0,0,2
shutter speed,1,1,7
af system,3,3,10
movie,2,0,1
software,3,3,4
lcd display,1,0,0
view finder,1,0,1
focus,16,12,63
lcd screen,3,0,1
resolution,3,0,11
quality pictures,2,0,0
price,4,3,18
kit lenses,0,0,1
options,6,0,6
noise reduction,1,0,7
focal length,0,0,2
film slr,0,0,1
pics,1,3,4
case,0,0,5
shutter button,0,1,3
lenses,14,10,37
autofocus system,2,1,3
zoom lens,0,0,1
professional photographer,1,0,2
af,16,13,53
image sensor,0,0,1
priority mode,0,0,1
exposure,5,1,16
size,0,0,15
hd movie,1,0,1
light,18,8,20
battery grip,0,0,2
shutter lag,1,0,0
shots,9,2,29
auto iso,0,0,1
video mode,2,1,1
card,2,0,8
light shots,0,0,1
flash,5,3,17
light photos,0,0,1
auto focus,3,1,6
battery,0,0,7
pictures,14,7,34
price point,0,0,3
firmware update,0,1,1
editing software,1,0,0
noise,11,8,39
automatic mode,0,1,1
battery door,1,0,4
burst mode,0,0,1
wide angle,3,0,6
video recording,0,0,4
shutter,6,4,18
video quality,2,0,3
price range,0,0,2
image stabilization,0,0,1
menu,4,1,5
angle lens,0,0,2
lcd monitor,0,0,2
dslr,5,0,27
kit lens,0,1,3
light weight,0,0,1
manual control,1,0,0
macro shots,1,0,1
auto,2,1,10
iso,21,21,69
action shots,1,0,0
customer service,1,0,2
screen,3,1,4
body,10,4,43
photos,14,4,25
battery pack,0,0,2
mode,3,2,25
battery life,0,0,4
features,8,3,27
view,2,1,14
shutter release,0,1,3
spare battery,0,0,2
function,5,0,7
manual settings,0,0,1
shutter priority,0,0,3
build quality,4,2,3
menu system,1,0,0
image,6,3,15
settings,3,0,18
video capability,0,0,2
image quality,16,3,12
prime lens,0,0,1
sensor,10,1,39
manual mode,0,0,3
color,5,2,7
external flash,1,0,0
wireless flash,0,0,3
video,19,9,52
lens,16,11,66
lcd,5,3,7
button,3,4,19
outdoor shots,0,0,2
af point,1,1,6
frame rate,1,0,4
viewfinder,5,0,8
weather seals,2,0,1
focus system,1,0,3
memory card,0,0,2
iso settings,0,0,2
exposure compensation,1,0,3
hd video,3,0,6
zoom,0,0,2
movie mode,1,3,4
autofocus,3,7,8
amateur photographer,3,0,1
white balance,1,0,1
video capture,0,0,2
money,4,0,20
focus point,0,1,0
hd camcorder,0,0,2
entry level,1,0,3
iso range,0,1,2
auto mode,0,1,3
